date,item_id,item_name,store_id,store_name,price,item_count,kcal,cost,sales_amount
2019-01-01,3,Sweet Fruity Cake,1,Bob's Diner,29.22,2,931.0,29.22,58.439998626708984
2019-01-01,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,22,763.0,26.42,581.2400016784668
2019-01-01,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,7,478.0,4.87,34.089999198913574
2019-01-01,13,Sweet Frozen Soft Drink,1,Bob's Diner,4.18,12,490.0,4.18,50.15999794006348
2019-01-01,16,Frozen Milky Smoothy,1,Bob's Diner,3.21,136,284.0,3.21,436.5600051879883
2019-01-01,19,Strawberry Smoothy,1,Bob's Diner,2.89,108,145.0,2.89,312.1200113296509
2019-01-01,21,Amazing Fish with Vegetables Meal,1,Bob's Diner,23.23,13,269.0,23.23,301.98999404907227
2019-01-01,23,Awesome Sweet Lamb Cake,1,Bob's Diner,10.86,10,671.0,10.86,108.59999656677246
2019-01-01,27,Steak Meal,6,Surfs Up,26.21,1,607.0,26.21,26.209999084472656
2019-01-01,35,Blue Ribbon Cocktail,6,Surfs Up,4.36,1,456.0,4.36,4.360000133514404
2019-01-01,42,Fantastic Milky Smoothy,2,Beachfront Bar,2.91,1,318.0,2.91,2.9100000858306885
2019-01-01,45,Awesome Fish with Vegetables Entree,1,Bob's Diner,23.43,4,227.0,23.43,93.72000122070312
2019-01-01,56,Sea Bass with Vegetables Dinner,1,Bob's Diner,28.75,18,613.0,28.75,517.5
2019-01-01,59,Blue Ribbon Beef Entree,1,Bob's Diner,23.37,30,392.0,23.37,701.100025177002
2019-01-01,67,Sweet Lamb Cake,1,Bob's Diner,7.0,23,558.0,7.0,161.0
2019-01-01,73,Milky Cake,1,Bob's Diner,5.16,2,596.0,5.16,10.319999694824219
2019-01-01,75,Blue Ribbon Milky Smoothy,4,Fou Cher,5.6,1,459.0,5.6,5.599999904632568
2019-01-01,76,Amazing pork lunch,1,Bob's Diner,17.93,32,679.0,17.93,573.760009765625
2019-01-01,90,Sweet Breaded Zucchini Cake,1,Bob's Diner,7.71,2,838.0,7.71,15.420000076293945
2019-01-01,91,Halibut with Bread Dinner,5,Corner Cafe,15.46,1,468.0,15.46,15.460000038146973
2019-01-01,93,Lamb with Bread Entree,5,Corner Cafe,12.44,1,585.0,12.44,12.4399995803833
2019-01-02,4,Amazing Steak Dinner with Rolls,1,Bob's Diner,26.42,26,763.0,26.42,686.9200019836426
2019-01-02,12,Fantastic Sweet Cola,1,Bob's Diner,4.87,5,478.0,4.87,24.34999942779541
